code;name;credits;prerequisites;corequisites;group_number;professor;day;start_hour;start_minute;end_hour;end_minute
MA2105;Ecuaciones diferenciales;4;MA1103;;3;BRENES GOMEZ RANDALL;JUE;9;30;11;20
MA2105;Ecuaciones diferenciales;4;MA1103;;4;MARIN SANCHEZ MARIO;MIE;13;0;14;50
MA2105;Ecuaciones diferenciales;4;MA1103;;4;MARIN SANCHEZ MARIO;VIE;13;0;14;50
MA2105;Ecuaciones diferenciales;4;MA1103;;5;MARIN SANCHEZ MARIO;MIE;17;0;18;50
MA2105;Ecuaciones diferenciales;4;MA1103;;5;MARIN SANCHEZ MARIO;VIE;17;0;18;50
MA2105;Ecuaciones diferenciales;4;MA1103;;6;MORA CASASOLA MARIA FERNANDA;MAR;17;0;18;50
MA2105;Ecuaciones diferenciales;4;MA1103;;6;MORA CASASOLA MARIA FERNANDA;JUE;17;0;18;50
MA2105;Ecuaciones diferenciales;4;MA1103;;7;MORA CASASOLA MARIA FERNANDA;SAB;7;30;11;20
MA2105;Ecuaciones diferenciales;4;MA1103;;8;OVIEDO UGALDE NORBERTO;MIE;15;0;16;50
MA2105;Ecuaciones diferenciales;4;MA1103;;8;OVIEDO UGALDE NORBERTO;VIE;15;0;16;50
MA2105;Ecuaciones diferenciales;4;MA1103;;9;PRENDAS ROJAS JUAN PABLO;MIE;9;30;11;20
MA2105;Ecuaciones diferenciales;4;MA1103;;9;PRENDAS ROJAS JUAN PABLO;VIE;9;30;11;20
MA2105;Ecuaciones diferenciales;4;MA1103;;10;RAMIREZ ARCE GREIVIN;MAR;17;0;18;50
MA2105;Ecuaciones diferenciales;4;MA1103;;10;RAMIREZ ARCE GREIVIN;JUE;17;0;18;50
QU1102;Laboratorio de quimica basica I;1;;QU1106;1;CALLEJA AMADOR CARLOS ENRIQUE;MAR;9;30;11;20
QU1102;Laboratorio de quimica basica I;1;;QU1106;2;CALLEJA AMADOR CARLOS ENRIQUE;MAR;13;0;14;50
QU1102;Laboratorio de quimica basica I;1;;QU1106;3;CALLEJA AMADOR CARLOS ENRIQUE;JUE;13;0;14;50
QU1102;Laboratorio de quimica basica I;1;;QU1106;4;LEDEZMA ESPINOZA AURA;VIE;13;0;14;50
QU1102;Laboratorio de quimica basica I;1;;QU1106;5;HERNANDEZ ALPIZAR LAURA;MIE;15;0;16;50
QU1102;Laboratorio de quimica basica I;1;;QU1106;6;MATA MATA ALEJANDRA;MAR;15;0;16;50
QU1102;Laboratorio de quimica basica I;1;;QU1106;7;MORA MOLINA JESUS;MIE;7;30;9;20
QU1102;Laboratorio de quimica basica I;1;;QU1106;8;MORA MOLINA JESUS;MIE;9;30;11;20
QU1102;Laboratorio de quimica basica I;1;;QU1106;9;MORA MOLINA JESUS;MIE;13;0;14;50
QU1102;Laboratorio de quimica basica I;1;;QU1106;10;QUIROS BUSTOS NOEMI;JUE;7;30;9;20
QU1102;Laboratorio de quimica basica I;1;;QU1106;11;QUIROS BUSTOS NOEMI;JUE;9;30;11;20
QU1102;Laboratorio de quimica basica I;1;;QU1106;12;SALAS JIMENEZ JUAN CARLOS;MAR;7;30;9;20
